,namePlayer,nameTeam
1,Brandon Goodwin,Atlanta Hawks
2,Evan Turner,Atlanta Hawks
3,Armoni Brooks,Atlanta Hawks
4,Kevin Huerter,Atlanta Hawks
5,Charles Brown,Atlanta Hawks
6,Jabari Parker,Atlanta Hawks
7,Tahjere McCall,Atlanta Hawks
8,Jordan Sibert,Atlanta Hawks
9,Trae Young,Atlanta Hawks
10,De'Andre Hunter,Atlanta Hawks
11,Vince Carter,Atlanta Hawks
12,John Collins,Atlanta Hawks
13,Cameron Reddish,Atlanta Hawks
14,Bruno Fernando,Atlanta Hawks
15,Alex Len,Atlanta Hawks
16,Damian Jones,Atlanta Hawks
17,Chandler Parsons,Atlanta Hawks
18,Marcus Derrickson,Atlanta Hawks
19,Allen Crabbe,Atlanta Hawks
20,DeAndre' Bembry,Atlanta Hawks
21,Jayson Tatum,Boston Celtics
22,Carsen Edwards,Boston Celtics
23,Jaylen Brown,Boston Celtics
24,Kemba Walker,Boston Celtics
25,Brad Wanamaker,Boston Celtics
26,Enes Kanter,Boston Celtics
27,Grant Williams,Boston Celtics
28,Gordon Hayward,Boston Celtics
29,Yante Maten,Boston Celtics
30,Daniel Theis,Boston Celtics
31,Max Strus,Boston Celtics
32,Kaiser Gates,Boston Celtics
33,Marcus Smart,Boston Celtics
34,Semi Ojeleye,Boston Celtics
35,Javonte Green,Boston Celtics
36,Robert Williams,Boston Celtics
37,Romeo Langford,Boston Celtics
38,Tremont Waters,Boston Celtics
39,Vincent Poirier,Boston Celtics
40,Tacko Fall,Boston Celtics
41,Rodions Kurucs,Brooklyn Nets
42,David Nwaba,Brooklyn Nets
43,Theo Pinson,Brooklyn Nets
44,Taurean Prince,Brooklyn Nets
45,Henry Ellenson,Brooklyn Nets
46,DeAndre Jordan,Brooklyn Nets
47,Kevin Durant,Brooklyn Nets
48,Spencer Dinwiddie,Brooklyn Nets
49,C.J. Williams,Brooklyn Nets
50,Deng Adel,Brooklyn Nets
51,Kyrie Irving,Brooklyn Nets
52,Joe Harris,Brooklyn Nets
53,Dzanan Musa,Brooklyn Nets
54,John Egbunu,Brooklyn Nets
55,Garrett Temple,Brooklyn Nets
56,Wilson Chandler,Brooklyn Nets
57,Caris LeVert,Brooklyn Nets
58,Jarrett Allen,Brooklyn Nets
59,Nicolas Claxton,Brooklyn Nets
60,Lance Thomas,Brooklyn Nets
61,Miles Bridges,Charlotte Hornets
62,Malik Monk,Charlotte Hornets
63,Marvin Williams,Milwaukee Bucks
64,Terry Rozier,Charlotte Hornets
65,Devonte' Graham,Charlotte Hornets
66,Nicolas Batum,Charlotte Hornets
67,Jalen McDaniels,Charlotte Hornets
68,Dwayne Bacon,Charlotte Hornets
69,Bismack Biyombo,Charlotte Hornets
70,Willy Hernangomez,Charlotte Hornets
71,Caleb Martin,Charlotte Hornets
72,Cody Martin,Charlotte Hornets
73,Michael Kidd-Gilchrist,Charlotte Hornets
74,Ahmed Hill,Charlotte Hornets
75,Robert Franks,Charlotte Hornets
76,Kobi Simmons,Charlotte Hornets
77,P.J. Washington,Charlotte Hornets
78,Cody Zeller,Charlotte Hornets
79,Thomas Welsh,Charlotte Hornets
80,Coby White,Chicago Bulls
81,Luke Kornet,Chicago Bulls
82,Shaquille Harrison,Chicago Bulls
83,Justin Simon,Chicago Bulls
84,Cristiano Felicio,Chicago Bulls
85,Zach LaVine,Chicago Bulls
86,Milton Doyle,Chicago Bulls
87,Perrion Callandret,Chicago Bulls
88,Daniel Gafford,Chicago Bulls
89,Simisola Shittu,Chicago Bulls
90,Chandler Hutchison,Chicago Bulls
91,Adam Mokoka,Chicago Bulls
92,Thaddeus Young,Chicago Bulls
93,Otto Porter Jr.,Chicago Bulls
94,Lauri Markkanen,Chicago Bulls
95,Tomas Satoransky,Chicago Bulls
96,Kris Dunn,Chicago Bulls
97,Wendell Carter Jr.,Chicago Bulls
98,Denzel Valentine,Chicago Bulls
99,Ryan Arcidiacono,Chicago Bulls
100,Kevin Love,Cleveland Cavaliers
101,Marques Bolden,Cleveland Cavaliers
102,Collin Sexton,Cleveland Cavaliers
103,Sindarius Thornwell,Cleveland Cavaliers
104,Kevin Porter Jr.,Cleveland Cavaliers
105,Daniel Hamilton,Cleveland Cavaliers
106,Jordan Clarkson,Cleveland Cavaliers
107,Dylan Windler,Cleveland Cavaliers
108,Darius Garland,Cleveland Cavaliers
109,Tristan Thompson,Cleveland Cavaliers
110,Timothe Luwawu-Cabarrot,Cleveland Cavaliers
111,Cedi Osman,Cleveland Cavaliers
112,Matthew Dellavedova,Cleveland Cavaliers
113,Brandon Knight,Cleveland Cavaliers
114,Larry Nance Jr.,Cleveland Cavaliers
115,Jarell Martin,Cleveland Cavaliers
116,John Henson,Cleveland Cavaliers
117,Dean Wade,Cleveland Cavaliers
118,Ante Zizic,Cleveland Cavaliers
119,J.P. Macura,Cleveland Cavaliers
120,Courtney Lee,Dallas Mavericks
121,Antonius Cleveland,Dallas Mavericks
122,J.J. Barea,Dallas Mavericks
123,Kristaps Porzingis,Dallas Mavericks
124,Dwight Powell,Dallas Mavericks
125,Isaiah Roby,Dallas Mavericks
126,Dorian Finney-Smith,Dallas Mavericks
127,Tim Hardaway Jr.,Dallas Mavericks
128,Jalen Brunson,Dallas Mavericks
129,Josh Reaves,Dallas Mavericks
130,Seth Curry,Dallas Mavericks
131,Dakota Mathias,Dallas Mavericks
132,Aric Holman,Dallas Mavericks
133,Maxi Kleber,Dallas Mavericks
134,Justin Jackson,Dallas Mavericks
135,Ryan Broekhoff,Dallas Mavericks
136,Boban Marjanovic,Dallas Mavericks
137,Delon Wright,Dallas Mavericks
138,Luka Doncic,Dallas Mavericks
139,Michael Porter Jr.,Denver Nuggets
140,Torrey Craig,Denver Nuggets
141,Paul Millsap,Denver Nuggets
142,Will Barton,Denver Nuggets
143,Jarred Vanderbilt,Denver Nuggets
144,Jerami Grant,Denver Nuggets
145,Bol Bol,Denver Nuggets
146,Monte Morris,Denver Nuggets
147,Gary Harris,Denver Nuggets
148,Nikola Jokic,Denver Nuggets
149,Mason Plumlee,Denver Nuggets
150,Malik Beasley,Denver Nuggets
151,Jamal Murray,Denver Nuggets
152,Vlatko Cancar,Denver Nuggets
153,Tyler Cook,Denver Nuggets
154,PJ Dozier,Denver Nuggets
155,Juancho Hernangomez,Denver Nuggets
156,Tyler Zeller,Denver Nuggets
157,Andre Drummond,Detroit Pistons
158,Reggie Jackson,Detroit Pistons
159,Luke Kennard,Detroit Pistons
160,Bruce Brown Jr.,Detroit Pistons
161,Thon Maker,Detroit Pistons
162,Markieff Morris,Detroit Pistons
163,Langston Galloway,Detroit Pistons
164,Tim Frazier,Detroit Pistons
165,Khyri Thomas,Detroit Pistons
166,Louis King,Detroit Pistons
167,Tony Snell,Detroit Pistons
168,Jordan Bone,Detroit Pistons
169,Svi Mykhailiuk,Detroit Pistons
170,Blake Griffin,Detroit Pistons
171,Joe Johnson,Detroit Pistons
172,Derrick Rose,Detroit Pistons
173,Todd Withers,Detroit Pistons
174,Christian Wood,Detroit Pistons
175,Deividas Sirvydis,Detroit Pistons
176,Sekou Doumbouya,Detroit Pistons
177,Donta Hall,Detroit Pistons
178,D'Angelo Russell,Golden State Warriors
179,Damion Lee,Golden State Warriors
180,Willie Cauley-Stein,Golden State Warriors
181,Jordan Poole,Golden State Warriors
182,Omari Spellman,Golden State Warriors
183,Kevon Looney,Golden State Warriors
184,Alen Smailagic,Golden State Warriors
185,Eric Paschall,Golden State Warriors
186,Alec Burks,Philadelphia 76ers
187,Jacob Evans,Golden State Warriors
188,Klay Thompson,Golden State Warriors
189,Ky Bowman,Golden State Warriors
190,Glenn Robinson III,Golden State Warriors
191,Draymond Green,Golden State Warriors
192,Alfonzo McKinnie,Golden State Warriors
193,Stephen Curry,Golden State Warriors
194,Kavion Pippen,Golden State Warriors
195,Marquese Chriss,Golden State Warriors
196,Andrew Harrison,Golden State Warriors
197,Juan Toscano-Anderson,Golden State Warriors
198,Ray Spalding,Houston Rockets
199,Russell Westbrook,Houston Rockets
200,Shamorie Ponds,Houston Rockets
201,Chris Clemons,Houston Rockets
202,Danuel House Jr.,Houston Rockets
203,Gary Clark,Houston Rockets
204,Jaron Blossomgame,Houston Rockets
205,Eric Gordon,Houston Rockets
206,James Harden,Houston Rockets
207,Gerald Green,Houston Rockets
208,Clint Capela,Houston Rockets
209,Ben McLemore,Houston Rockets
210,PJ Tucker,Houston Rockets
211,Thabo Sefolosha,Houston Rockets
212,Tyson Chandler,Houston Rockets
213,Michael Frazier,Houston Rockets
214,Austin Rivers,Houston Rockets
215,Ryan Anderson,Houston Rockets
216,Nene,Houston Rockets
217,Isaiah Hartenstein,Houston Rockets
218,T.J. Warren,Indiana Pacers
219,Aaron Holiday,Indiana Pacers
220,Victor Oladipo,Indiana Pacers
221,Edmond Sumner,Indiana Pacers
222,Malcolm Brogdon,Indiana Pacers
223,Justin Holiday,Indiana Pacers
224,T.J. McConnell,Indiana Pacers
225,Brian Bowen II,Indiana Pacers
226,Domantas Sabonis,Indiana Pacers
227,JaKarr Sampson,Indiana Pacers
228,Naz Mitrou-Long,Indiana Pacers
229,CJ Wilcox,Indiana Pacers
230,Doug McDermott,Indiana Pacers
231,TJ Leaf,Indiana Pacers
232,Alize Johnson,Indiana Pacers
233,Walter Lemon Jr.,Indiana Pacers
234,Jeremy Lamb,Indiana Pacers
235,Myles Turner,Indiana Pacers
236,Amida Brimah,Indiana Pacers
237,Goga Bitadze,Indiana Pacers
238,Mathias Lessort,Los Angeles Clippers
239,Donte Grantham,Los Angeles Clippers
240,Jerome Robinson,Los Angeles Clippers
241,Kawhi Leonard,Los Angeles Clippers
242,JaMychal Green,Los Angeles Clippers
243,Montrezl Harrell,Los Angeles Clippers
244,Amir Coffey,Los Angeles Clippers
245,Maurice Harkless,Los Angeles Clippers
246,Derrick Walton Jr.,Los Angeles Clippers
